35,hope,hope
35,turns,turns
35,strong,strong
35,helm,helm
35,sign,sign
35,boy,girl
35,mad,inspired
35,killed,ended
35,forehead,forehead
34,remained,remained
34,ashore,In-orbit
34,skeleton,endoskeleton
34,heavy,heavy
34,american,terran
34,arms,arms
34,thoughts,thoughts
34,sailing,floating
34,shot,zzapt
34,wonder,wonder
34,none,none
34,house,pod
34,boys,girls
34,account,account
34,red,green
34,pipe,vent
34,passage,passage
34,except,except
34,pacific,western spiral arm
33,want,want
33,fair,fair
33,company,company
33,rigging,configuration
33,drawing,scanning
33,de,de
33,didn't,didn't
33,brain,brain
33,fifty,fifty
33,completely,completely
33,skin,skin
33,creatures,creatures
33,idea,idea
33,d'ye,d'ye
33,unless,unless
33,hammock,pod
33,free,free
33,already,already
33,top,top
33,hardly,hardly
33,fear,fear
32,strike,strike
32,rolling,rolling
32,mast-heads,Long-range scanners
32,landlord,hivemistress
32,doubt,doubt
32,terms,terms
32,darkness,darkness
32,during,during
32,third,third
32,stop,stop
32,show,show
32,miles,parsecs
32,aft,aft
32,lines,lines
32,chief,chief
32,won't,won't
32,bulk,bulk
32,proper,proper
32,intervals,intervals
32,hence,hence
32,table,table
31,hull,hull
31,substance,substance
31,pass,pass
31,try,try
31,jet,jet
31,received,received
31,upper,upper
31,species,species
31,woe,woe
31,harpoons,lazers
31,generally,generally
31,across,across
31,considering,considering
31,island,island
31,instances,instances
31,planks,planks
31,visible,visible
31,rising,rising
31,weather,spacetime
31,sky,void
30,possible,possible
30,possibly,possibly
30,spring,spring
30,huge,huge
30,really,really
30,fresh,reconstituted
30,steel,adamantium
30,swimming,floating
30,cold,cold
30,read,read
30,die,die
30,nose,nose
30,quarter-deck,bridge
30,late,late
30,soft,soft
30,born,born
30,wood,plasteel
30,cast,cast
30,carried,carried
29,altogether,altogether
29,hammer,hammer
29,vain,vain
29,supper,supper
29,hoisted,levitated
29,touch,touch
29,person,person
29,mariners,spacers
29,act,act
29,tossed,tossed
29,leeward,Warp-wise
29,horn,horn
29,smoke,exhaust
29,strangely,strangely
29,entirely,entirely
29,steady,steady
29,foot,foot
29,jaws,jaws
29,astern,astern
29,pretty,gorgeous
29,final,final
29,aside,aside
29,sideways,sideways
29,suspended,suspended
29,hast,hast
29,gutenberg,Shub-niggurath
29,stands,stands
29,question,question
29,words,words
29,i've,i've
28,feeling,feeling
28,shipmates,shipmates
28,can't,can't
28,mast,wing
28,number,number
28,leaning,leaning
28,considerable,considerable
28,become,become
28,glance,glance
28,certainly,certainly
28,o,o
28,thinking,thinking
28,meanwhile,meanwhile
28,mild,mild
28,giving,giving
28,ancient,ancient
28,hung,hung
28,state,state
28,knows,knows
28,kind,kind
28,gale,gale
27,wooden,wooden
27,following,following
27,queequeg's,Killtron-80's
27,overboard,overboard
27,sides,sides
27,scene,scene
27,command,command
27,eyeing,eyeing
27,whiteness,purpleness
27,ahead,ahead
27,lie,lie
27,started,started
27,precisely,precisely
27,somewhat,somewhat
27,flying,zooming
27,finally,finally
27,electronic,demonic
27,believe,believe
27,wholly,wholly
27,dropped,ejected
27,alongside,alongside
27,looks,looks
26,i'm,i'm
26,circumstances,circumstances
26,enormous,enormous
26,followed,followed
26,play,play
26,bodily,bodily
26,seated,seated
26,royal,royal
26,gods,void horrors
26,silent,silent
26,'tis,'tis
26,otherwise,otherwise
26,takes,takes
26,floating,floating
26,fancy,fancy
26,nay,nay
26,keel,nacelle
26,whale-ship,'podehunter
26,blubber,spongiferous tritium
